amazement,solemnity,tenderness,nostalgia,calmness,power,joyful_activation,tension,sadness,mood,age,avg_bpm_listened,most_listened_genre_Classical,most_listened_genre_Electronic,most_listened_genre_Hip-hop,most_listened_genre_Jazz,most_listened_genre_Pop,most_listened_genre_Rock,listening_frequency_daily,listening_frequency_hourly,listening_frequency_monthly,listening_frequency_weekly
0,1,0,0,0,0,1,1,0,3,21,113,0,0,0,0,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0,3,41,145,0,0,1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,1,3,24,134,0,1,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,3,32,157,0,0,0,1,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,4,21,68,0,0,0,1,0,0,0,0,0,1
0,1,0,1,0,0,0,0,1,3,45,117,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,4,30,162,1,0,0,0,0,0,1,0,0,0
0,1,1,0,1,0,0,0,0,4,70,145,0,0,1,0,0,0,0,0,0,1
0,0,0,0,1,0,1,0,0,2,60,77,0,0,0,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,5,54,200,0,1,0,0,0,0,0,0,0,1
0,0,0,1,1,0,1,0,0,4,16,65,0,0,0,1,0,0,0,0,1,0
0,0,1,1,0,0,0,0,0,4,30,167,0,0,0,0,0,1,1,0,0,0
0,0,1,1,0,0,0,0,1,1,33,145,0,0,0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,0,1,4,16,66,1,0,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,1,3,33,200,0,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,0,0,0,4,41,75,0,0,0,0,0,1,1,0,0,0
1,1,0,0,0,0,1,0,0,5,40,73,0,1,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,1,5,61,132,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,1,3,26,130,1,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,3,22,115,1,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,4,51,83,0,0,0,0,0,1,0,0,1,0
0,0,0,0,1,0,0,0,0,4,20,75,0,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,0,4,41,109,0,0,0,0,0,1,0,1,0,0
0,1,1,0,1,0,0,0,0,4,63,68,0,0,0,0,1,0,0,1,0,0
0,0,0,1,1,0,0,0,0,3,37,87,0,0,0,0,0,1,1,0,0,0
0,0,1,1,0,0,0,0,1,1,33,168,1,0,0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,1,4,51,75,0,0,0,1,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,3,21,67,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,3,30,141,0,0,0,0,0,1,0,0,1,0
0,1,0,1,0,0,0,0,1,3,60,102,1,0,0,0,0,0,0,0,1,0
1,0,1,0,1,0,0,0,0,4,21,131,0,0,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,4,46,166,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,1,4,25,114,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,3,42,111,0,0,1,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,1,4,28,78,1,0,0,0,0,0,1,0,0,0
0,1,1,0,1,0,0,0,0,2,37,174,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,4,57,189,0,0,0,0,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,4,22,142,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,1,3,24,192,0,1,0,0,0,0,0,0,0,1
1,0,1,0,1,0,0,0,0,4,30,121,1,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,5,49,186,0,1,0,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,0,3,41,133,0,0,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,1,3,51,123,0,0,0,1,0,0,0,0,1,0
0,1,0,0,1,0,0,0,0,3,27,115,0,1,0,0,0,0,1,0,0,0
1,1,0,0,1,0,0,0,0,2,23,99,1,0,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,4,24,129,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,4,22,144,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,2,28,126,0,1,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,3,41,200,0,0,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,0,0,3,18,63,0,0,1,0,0,0,0,1,0,0
0,0,0,0,1,1,0,0,0,5,22,176,0,0,0,0,1,0,0,1,0,0
0,1,1,0,1,0,0,0,0,4,22,165,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,5,36,65,0,0,0,0,1,0,0,0,1,0
0,1,1,0,1,0,0,0,0,5,54,66,0,0,1,0,0,0,1,0,0,0
0,0,1,0,1,0,0,0,0,5,46,123,0,0,0,0,0,1,0,0,1,0
0,0,0,0,1,0,0,0,0,3,45,150,0,0,0,0,0,1,1,0,0,0
1,1,0,0,0,0,0,0,0,3,22,169,0,0,0,0,1,0,1,0,0,0
0,0,0,0,1,0,0,0,0,4,30,137,0,1,0,0,0,0,0,0,1,0
0,0,1,0,1,0,0,0,0,4,70,138,0,0,0,1,0,0,1,0,0,0
0,0,1,0,1,0,0,0,0,2,46,64,0,0,0,1,0,0,1,0,0,0
0,1,0,1,0,0,1,0,0,4,16,192,0,1,0,0,0,0,0,0,1,0
0,0,1,1,1,0,0,0,0,3,32,177,0,0,0,0,1,0,0,1,0,0
0,0,0,1,1,0,0,0,0,4,30,63,0,1,0,0,0,0,1,0,0,0
0,0,1,0,1,0,0,0,0,3,33,194,0,0,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,0,0,3,27,96,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,4,51,99,0,0,0,0,1,0,0,0,1,0
0,0,1,1,1,0,0,0,0,4,63,198,0,0,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,1,3,37,200,1,0,0,0,0,0,0,0,0,1
0,0,1,1,1,0,0,0,0,3,27,151,0,0,0,0,1,0,0,0,0,1
0,0,0,1,1,0,0,0,1,1,33,160,0,0,0,0,1,0,0,0,1,0
0,0,0,0,1,0,0,0,1,3,30,146,0,0,1,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,2,37,133,0,0,0,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,0,4,21,94,0,1,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,4,46,94,0,0,0,0,0,1,0,1,0,0
0,0,0,1,0,0,0,0,1,4,25,171,0,0,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,3,42,141,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,0,3,58,136,0,1,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,4,57,195,0,0,0,0,1,0,1,0,0,0
0,0,1,0,0,1,0,0,0,4,22,67,0,0,0,1,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,4,20,182,1,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,3,36,67,0,1,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,4,25,62,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,0,0,5,34,154,1,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,5,25,81,0,1,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,3,51,101,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,0,0,5,34,94,1,0,0,0,0,0,0,0,0,1
0,1,0,1,1,0,0,0,0,4,30,169,0,0,1,0,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,4,38,200,0,0,0,0,0,1,0,0,1,0
0,0,1,0,1,0,0,0,0,3,22,141,0,0,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,5,34,150,0,1,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,3,51,183,0,0,0,0,0,1,0,1,0,0
0,0,1,1,1,0,0,0,0,3,50,179,1,0,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,0,0,2,23,62,0,1,0,0,0,0,0,0,1,0
0,0,1,0,1,0,0,0,0,4,33,87,0,0,0,1,0,0,0,0,0,1
0,0,0,1,1,0,0,0,1,3,32,92,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,5,51,136,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,5,36,170,0,0,0,0,0,1,1,0,0,0
1,0,0,0,1,0,0,0,0,4,46,87,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,1,3,45,84,1,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,4,30,121,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0,0,4,70,134,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0,4,54,124,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,1,1,1,0,4,16,79,0,0,0,0,0,1,0,1,0,0
0,0,0,1,0,0,1,0,0,4,30,92,0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,1,3,33,192,1,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,1,0,4,17,70,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,3,35,175,0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,4,51,124,0,0,0,1,0,0,0,0,1,0
0,1,0,1,0,0,1,0,0,4,63,99,1,0,0,0,0,0,0,1,0,0
